route,2026-02,2026-03,2025-Q4,2026-Q1,2026-Q2,2026-Q3,2026-Q4,2027-Q1,2026,2027,2028,2029,2030,2031,2032
"5TC (avg of 5 Capesize T/C routes)",14157,18454,24336,16746,22436,25146,25418,16339,22437,21714,20289,19404,18943,18775,18682
"C3 (Tubarao-Qingdao)",17833,20908,22819,19456,21475,23192,23592,19408,21929,20197,19988,,,, 
"C5 (West Australia-Qingdao)",6633,8717,9689,7700,9083,9288,9408,7392,8870,,,,,,
"C7 (Bolivar-Rotterdam)",10625,11821,13157,11219,12210,12610,12986,11190,12256,11940,11540,11000,10900,,
